iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
65,0.6528004822182037,0.09115980916101706,0.8429403613679087,0.012955788771764369,0.47929035509783846,0.08241106730277785,0.2764677451520946,0.011246969883385426
66,0.6512814948764316,0.09215917777146161,0.8464925628748761,0.016110883711949468,0.4789828235246564,0.0833915785575059,0.27426949364141817,0.010033108232822803
67,0.6475877798052034,0.09305492627706347,0.8483958495737672,0.011817980478941031,0.47880989622814435,0.0841844315562105,0.27214198171847875,0.009099456580654345
68,0.6571551049569625,0.09481266713816396,0.8498184721499683,0.010452797996177016,0.4784022364459797,0.08331230755582379,0.27087637291665345,0.009320479739734927
69,0.6541948494569227,0.09488417871653337,0.8528419025303761,0.009748891534340576,0.47861274905138895,0.08322098963652225,0.2689551183305398,0.009360019111662203
70,0.6524021323700879,0.0923923321618813,0.8540421550061655,0.011591257679508324,0.47945204427551574,0.08402897387750338,0.2679410931284179,0.00922670147007932
71,0.6553022691689937,0.09647455345001539,0.8563825367768784,0.009078079082770236,0.4771638303317401,0.08550172476814469,0.26668588756212486,0.00863681517275245
72,0.6596703373250528,0.09285913644784964,0.858486253642685,0.009208176960336573,0.4775075076679853,0.08466488930926572,0.2649188756384243,0.00814082126446035
73,0.6497411437116486,0.10095290398572895,0.857115921043642,0.008085608216086006,0.47729361724781005,0.08484744649090582,0.26270436802936226,0.00795255173677426
74,0.653997063230726,0.09567606100674582,0.859384371148102,0.010760630227908042,0.47944104120209197,0.08643066847078344,0.2613946903515385,0.008459416080082965
75,0.6559256274983778,0.08975999056915047,0.8635496447031501,0.013431074058913601,0.48259084737955427,0.08856575416524776,0.25965411263418015,0.008996624187570409
76,0.6432449748177251,0.10448228268282045,0.8647316111689882,0.007379287915248017,0.48345100138854813,0.09013505335167703,0.25842031019460193,0.00911628203786715
77,0.6412516879782605,0.10887800023127188,0.864916239064995,0.003966274067115975,0.4834382286745287,0.09123570018169383,0.2571811239673142,0.008592771070232924
78,0.6552734898393395,0.1003202254912003,0.8669927764792444,0.006836456068725089,0.4846634733825776,0.09167886113101612,0.2558495032220106,0.008728089204997912
79,0.6510490315038288,0.09534002976651143,0.8678916325263917,0.008154725681587094,0.4855243064467899,0.09089993464803328,0.2545733290977898,0.00889861907726227
80,0.6509798931406794,0.09693645493493909,0.8680773848788819,0.007634020355987296,0.48575798097336415,0.09131258815492749,0.253449555987827,0.008772381869532704
